Année,Population (millions),PIB (milliards USD),Consommation Énergétique Totale (MTEP),Production Pétrole (millions barils),Production Gaz Naturel (milliards m3),Production Électricité (TWh),Part Énergies Renouvelables (%),Réserves Prouvées Pétrole (milliards barils),Réserves Prouvées Gaz (trillions m3),Exportations Pétrole (millions barils),Exportations Gaz (milliards m3),Émissions CO2 (millions tonnes),Investissement Secteur Énergétique (milliards USD)
2000,5.1,13.0,6.2,550,6.5,18.0,0.1,46.4,1.5,500,2.5,32.0,NA
2001,5.2,14.5,6.5,580,6.8,19.0,0.1,46.4,1.5,530,2.6,33.5,NA
2002,5.3,16.2,6.8,610,7.1,20.0,0.1,46.4,1.5,560,2.7,35.0,NA
2003,5.4,18.0,7.1,640,7.4,21.0,0.1,46.4,1.5,590,2.8,36.5,NA
2004,5.5,20.0,7.4,670,7.7,22.0,0.1,46.4,1.5,620,2.9,38.0,NA
2005,5.6,22.1,7.7,700,8.0,23.0,0.1,46.4,1.5,650,3.0,39.5,NA
2006,5.7,24.4,8.0,730,8.3,24.0,0.1,46.4,1.5,680,3.1,41.0,NA
2007,5.8,26.8,8.3,760,8.6,25.0,0.1,46.4,1.5,710,3.2,42.5,NA
2008,5.9,29.4,8.6,790,8.9,26.0,0.1,46.4,1.5,740,3.3,44.0,NA
2009,6.0,32.1,8.9,820,9.2,27.0,0.1,46.4,1.5,770,3.4,45.5,NA
2010,6.1,35.0,9.2,850,9.5,28.0,0.1,46.4,1.5,800,3.5,47.0,NA
2011,6.2,22.0,5.0,150,2.0,8.0,0.1,46.4,1.5,100,0.5,10.0,NA
2012,6.3,30.0,6.0,500,5.0,15.0,0.1,46.4,1.5,450,1.5,25.0,NA
2013,6.4,40.0,7.0,600,6.0,18.0,0.1,46.4,1.5,550,2.0,30.0,NA
2014,6.5,45.0,7.5,650,6.5,19.0,0.1,46.4,1.5,600,2.2,32.5,NA
2015,6.6,40.0,7.0,400,4.0,15.0,0.1,46.4,1.5,350,1.5,28.0,NA
2016,6.7,35.0,6.5,350,3.5,14.0,0.1,46.4,1.5,300,1.3,25.0,NA
2017,6.8,40.0,7.0,500,5.0,16.0,0.1,46.4,1.5,450,1.8,28.0,NA
2018,6.9,45.0,7.5,600,6.0,18.0,0.1,46.4,1.5,550,2.0,30.0,NA
2019,7.0,50.0,8.0,700,7.0,20.0,0.1,46.4,1.5,650,2.3,32.0,NA
2020,7.1,30.0,6.0,400,4.0,14.0,0.2,46.4,1.5,350,1.5,25.0,NA
2021,7.2,35.0,6.5,500,5.0,16.0,0.3,46.4,1.5,450,1.8,28.0,NA
2022,7.3,40.0,7.0,600,6.0,18.0,0.4,46.4,1.5,550,2.0,30.0,NA
2023,7.4,45.0,7.5,700,7.0,20.0,0.5,46.4,1.5,650,2.3,32.0,NA
2024*,7.5,50.0,8.0,800,8.0,22.0,0.7,46.4,1.5,750,2.5,34.0,0.5
2025*,7.6,55.0,8.5,900,9.0,24.0,1.0,46.4,1.5,850,2.7,36.0,0.7
