Année,Population (millions),PIB (milliards USD),Consommation Énergétique Totale (MTEP),Production Pétrole (milliers barils),Production Gaz Naturel (millions m3),Production Électricité (TWh),Part Énergies Renouvelables (%),Réserves Prouvées Pétrole (millions barils),Réserves Prouvées Gaz (milliards m3),Importations Énergie (MTEP),Exportations Énergie (MTEP),Émissions CO2 (millions tonnes),Investissement Secteur Énergétique (milliards USD)
2000,29.1,41.1,7.6,0.1,60,13.2,1.0,6.8,0.1,6.7,0.1,18.4,0.3
2001,29.6,43.7,7.9,0.1,65,13.8,1.2,6.7,0.1,7.0,0.1,19.2,0.35
2002,30.1,46.5,8.2,0.1,70,14.4,1.5,6.6,0.1,7.3,0.1,20.0,0.4
2003,30.6,49.4,8.5,0.1,75,15.0,2.0,6.5,0.1,7.6,0.1,20.8,0.45
2004,31.1,52.4,8.8,0.1,80,15.6,2.5,6.4,0.1,7.9,0.1,21.6,0.5
2005,31.6,55.5,9.1,0.1,85,16.2,3.0,6.3,0.1,8.2,0.1,22.4,0.6
2006,32.1,58.8,9.4,0.1,90,16.8,3.5,6.2,0.1,8.5,0.1,23.2,0.7
2007,32.6,62.2,9.7,0.1,95,17.4,4.0,6.1,0.1,8.8,0.1,24.0,0.8
2008,33.1,65.7,10.0,0.1,100,18.0,4.5,6.0,0.1,9.1,0.1,24.8,0.9
2009,33.6,69.3,10.3,0.1,105,18.6,5.0,5.9,0.1,9.4,0.1,25.6,1.0
2010,34.1,73.0,10.6,0.1,110,19.2,5.5,5.8,0.1,9.7,0.1,26.4,1.1
2011,34.6,76.8,10.9,0.1,115,19.8,6.0,5.7,0.1,10.0,0.1,27.2,1.2
2012,35.1,80.7,11.2,0.1,120,20.4,7.0,5.6,0.1,10.3,0.1,28.0,1.4
2013,35.6,84.7,11.5,0.1,125,21.0,8.0,5.5,0.1,10.6,0.1,28.8,1.6
2014,36.0,88.8,11.8,0.1,130,21.6,9.0,5.4,0.1,10.9,0.1,29.6,1.8
2015,36.5,93.0,12.1,0.1,135,22.2,10.0,5.3,0.1,11.2,0.1,30.4,2.0
2016,37.0,97.3,12.4,0.1,140,22.8,11.0,5.2,0.1,11.5,0.1,31.2,2.2
2017,37.5,101.7,12.7,0.1,145,23.4,12.0,5.1,0.1,11.8,0.1,32.0,2.4
2018,38.0,106.2,13.0,0.1,150,24.0,13.0,5.0,0.1,12.1,0.1,32.8,2.6
2019,38.5,110.8,13.3,0.1,155,24.6,14.0,4.9,0.1,12.4,0.1,33.6,2.8
2020,39.0,115.5,13.6,0.1,160,25.2,15.0,4.8,0.1,12.7,0.1,34.4,3.0
2021,39.5,120.3,13.9,0.1,165,25.8,37.0,4.7,0.1,13.0,0.1,35.2,3.2
2022,40.0,125.2,14.2,0.1,170,26.4,42.0,4.6,0.1,13.3,0.1,36.0,3.4
2023,40.5,130.2,14.5,0.1,175,27.0,46.0,4.5,0.1,13.6,0.1,36.8,3.6
2024*,41.0,135.3,14.8,0.1,180,27.6,50.0,4.4,0.1,13.9,0.1,37.6,3.8
2025*,41.5,140.5,15.1,0.1,185,28.2,52.0,4.3,0.1,14.2,0.1,38.4,4.0
