Année,Population (millions),PIB (milliards USD),Consommation Énergétique Totale (MTEP),Production Pétrole (millions barils),Production Gaz Naturel (milliards m3),Production Électricité (TWh),Part Énergies Renouvelables (%),Réserves Prouvées Pétrole (millions barils),Réserves Prouvées Gaz (milliards m3),Importations Énergie (MTEP),Exportations Énergie (MTEP),Émissions CO2 (millions tonnes),Investissement Secteur Énergétique (millions USD)
2000,9.6,21.8,4.1,3.5,3.2,9.5,0.1,425,65,1.5,2.0,10.5,150
2001,9.7,22.5,4.2,3.4,3.3,9.8,0.1,420,64,1.6,2.0,10.8,160
2002,9.8,23.3,4.3,3.3,3.4,10.1,0.1,415,63,1.7,1.9,11.2,170
2003,9.9,24.2,4.4,3.2,3.5,10.4,0.2,410,62,1.8,1.8,11.5,180
2004,10.0,25.1,4.5,3.1,3.6,10.7,0.2,405,61,1.9,1.7,11.8,190
2005,10.1,26.0,4.6,3.0,3.7,11.0,0.2,400,60,2.0,1.6,12.1,200
2006,10.2,27.0,4.7,2.9,3.8,11.3,0.3,395,59,2.1,1.5,12.4,210
2007,10.3,28.1,4.8,2.8,3.9,11.6,0.3,390,58,2.2,1.4,12.7,220
2008,10.4,29.2,4.9,2.7,4.0,11.9,0.4,385,57,2.3,1.3,13.0,230
2009,10.5,30.3,5.0,2.6,4.1,12.2,0.4,380,56,2.4,1.2,13.3,240
2010,10.6,31.5,5.1,2.5,4.2,12.5,0.5,375,55,2.5,1.1,13.6,250
2011,10.7,32.7,5.2,2.4,4.3,12.8,0.5,370,54,2.6,1.0,13.9,260
2012,10.8,33.9,5.3,2.3,4.4,13.1,0.6,365,53,2.7,0.9,14.2,270
2013,10.9,35.2,5.4,2.2,4.5,13.4,0.6,360,52,2.8,0.8,14.5,280
2014,11.0,36.5,5.5,2.1,4.6,13.7,0.7,355,51,2.9,0.7,14.8,290
2015,11.1,37.8,5.6,2.0,4.7,14.0,0.7,350,50,3.0,0.6,15.1,300
2016,11.2,39.2,5.7,1.9,4.8,14.3,0.8,345,49,3.1,0.5,15.4,310
2017,11.4,40.6,5.8,1.8,4.9,14.6,0.8,340,48,3.2,0.4,15.7,320
2018,11.5,42.0,5.9,1.7,5.0,14.9,0.9,335,47,3.3,0.3,16.0,330
2019,11.6,43.4,6.0,1.6,5.1,15.2,0.9,330,46,3.4,0.2,16.3,340
2020,11.7,44.8,6.1,1.5,5.2,15.5,1.0,325,45,3.5,0.1,16.6,350
2021,11.8,46.3,6.2,1.4,5.3,15.8,5.0,320,44,3.6,0.1,16.9,360
2022,11.9,47.8,6.3,1.3,5.4,16.1,7.0,315,43,3.7,0.1,17.2,370
2023,12.1,49.3,6.4,1.2,5.5,16.4,9.0,310,42,3.8,0.1,17.5,380
2024*,12.2,50.8,6.5,1.1,5.6,16.7,12.0,305,41,3.9,0.1,17.8,390
2025*,12.3,52.4,6.6,1.0,5.7,17.0,15.0,300,40,4.0,0.1,18.1,400
